Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm]
Lattice,164,PLA,foamed elastomer,19.423827286338167,10.0,2.5,1.2400155633859224,0.5,1.8600233450788837
Lattice,165,PLA,none,19.423827286338167,10.0,2.5,1.2400155633859224,0.5,1.8600233450788837
Lattice,166,PLA,dense elastomer,37.6095211363609,10.0,2.5,1.0425858853186096,0.5,1.5638788279779146
Lattice,167,PLA,foamed elastomer,37.6095211363609,10.0,2.5,1.0425858853186096,0.5,1.5638788279779146
Lattice,168,PLA,none,37.6095211363609,10.0,2.5,1.0425858853186096,0.5,1.5638788279779146
Lattice,169,PLA,dense elastomer,16.443529594650308,10.0,2.5,0.5792709029007257,0.5,0.8689063543510885
Lattice,170,PLA,foamed elastomer,16.443529594650308,10.0,2.5,0.5792709029007257,0.5,0.8689063543510885
Lattice,171,PLA,none,16.443529594650308,10.0,2.5,0.5792709029007257,0.5,0.8689063543510885
Lattice,172,PLA,dense elastomer,46.353234903521674,10.0,2.5,0.9373567433589147,0.5,1.406035115038372
Lattice,173,PLA,foamed elastomer,46.353234903521674,10.0,2.5,0.9373567433589147,0.5,1.406035115038372
Lattice,174,PLA,none,46.353234903521674,10.0,2.5,0.9373567433589147,0.5,1.406035115038372
Lattice,175,PLA,dense elastomer,41.65942936355847,10.0,2.5,0.8414055149782691,0.5,1.2621082724674038
Lattice,176,PLA,foamed elastomer,41.65942936355847,10.0,2.5,0.8414055149782691,0.5,1.2621082724674038
Lattice,177,PLA,none,41.65942936355847,10.0,2.5,0.8414055149782691,0.5,1.2621082724674038
Lattice,178,PLA,dense elastomer,38.37320175768112,10.0,2.5,0.7766735206102857,0.5,1.1650102809154286
Lattice,179,PLA,foamed elastomer,38.37320175768112,10.0,2.5,0.7766735206102857,0.5,1.1650102809154286
Lattice,180,PLA,none,38.37320175768112,10.0,2.5,0.7766735206102857,0.5,1.1650102809154286
Lattice,181,PLA,dense elastomer,37.91928137993325,10.0,2.5,1.078474337810455,0.5,1.6177115067156826
Lattice,182,PLA,foamed elastomer,37.91928137993325,10.0,2.5,1.078474337810455,0.5,1.6177115067156826
Lattice,183,PLA,none,37.91928137993325,10.0,2.5,1.078474337810455,0.5,1.6177115067156826
Lattice,184,PLA,dense elastomer,15.486780716124647,10.0,2.5,1.1768518141527813,0.5,1.765277721229172
Lattice,185,PLA,foamed elastomer,15.486780716124647,10.0,2.5,1.1768518141527813,0.5,1.765277721229172
Lattice,186,PLA,none,15.486780716124647,10.0,2.5,1.1768518141527813,0.5,1.765277721229172
Lattice,187,PLA,dense elastomer,18.025287763886407,10.0,2.5,0.9962730188180033,0.5,1.494409528227005
Lattice,188,PLA,foamed elastomer,18.025287763886407,10.0,2.5,0.9962730188180033,0.5,1.494409528227005
Lattice,189,PLA,none,18.025287763886407,10.0,2.5,0.9962730188180033,0.5,1.494409528227005
Lattice,190,PLA,dense elastomer,18.849248902414562,10.0,2.5,0.4089678141301426,0.5,0.613451721195214
Lattice,191,PLA,foamed elastomer,18.849248902414562,10.0,2.5,0.4089678141301426,0.5,0.613451721195214
Lattice,192,PLA,none,18.849248902414562,10.0,2.5,0.4089678141301426,0.5,0.613451721195214
Lattice,193,PLA,dense elastomer,20.370105713720108,10.0,2.5,1.2023547887704098,0.5,1.8035321831556148
Lattice,194,PLA,foamed elastomer,20.370105713720108,10.0,2.5,1.2023547887704098,0.5,1.8035321831556148
Lattice,195,PLA,none,20.370105713720108,10.0,2.5,1.2023547887704098,0.5,1.8035321831556148
Lattice,196,PLA,dense elastomer,15.203942295353569,10.0,2.5,0.4479700534117071,0.5,0.6719550801175607
Lattice,197,PLA,foamed elastomer,15.203942295353569,10.0,2.5,0.4479700534117071,0.5,0.6719550801175607
Lattice,198,PLA,none,15.203942295353569,10.0,2.5,0.4479700534117071,0.5,0.6719550801175607
Lattice,199,PLA,dense elastomer,30.712698357215977,10.0,2.5,0.6674206358089199,0.5,1.0011309537133797
Lattice,200,PLA,foamed elastomer,30.712698357215977,10.0,2.5,0.6674206358089199,0.5,1.0011309537133797
Lattice,201,PLA,none,30.712698357215977,10.0,2.5,0.6674206358089199,0.5,1.0011309537133797
Lattice,202,PLA,dense elastomer,10.920571915865418,10.0,2.5,0.7648166211657442,0.5,1.1472249317486163
Lattice,203,PLA,foamed elastomer,10.920571915865418,10.0,2.5,0.7648166211657442,0.5,1.1472249317486163
Lattice,204,PLA,none,10.920571915865418,10.0,2.5,0.7648166211657442,0.5,1.1472249317486163
Lattice,205,PLA,dense elastomer,23.524243691531286,10.0,2.5,1.010763555378452,0.5,1.516145333067678
Lattice,206,PLA,foamed elastomer,23.524243691531286,10.0,2.5,1.010763555378452,0.5,1.516145333067678
Lattice,207,PLA,none,23.524243691531286,10.0,2.5,1.010763555378452,0.5,1.516145333067678
Lattice,208,PLA,dense elastomer,24.066823045348507,10.0,2.5,1.2305679838036196,0.5,1.8458519757054295
Lattice,209,PLA,foamed elastomer,24.066823045348507,10.0,2.5,1.2305679838036196,0.5,1.8458519757054295
Lattice,210,PLA,none,24.066823045348507,10.0,2.5,1.2305679838036196,0.5,1.8458519757054295
Lattice,211,PLA,dense elastomer,39.49237048280098,10.0,2.5,0.9292666942866303,0.5,1.3939000414299456
Lattice,212,PLA,foamed elastomer,39.49237048280098,10.0,2.5,0.9292666942866303,0.5,1.3939000414299456
Lattice,213,PLA,none,39.49237048280098,10.0,2.5,0.9292666942866303,0.5,1.3939000414299456
Lattice,214,PLA,dense elastomer,46.781357874857086,10.0,2.5,1.1366482242755067,0.5,1.70497233641326
Lattice,215,PLA,foamed elastomer,46.781357874857086,10.0,2.5,1.1366482242755067,0.5,1.70497233641326
Lattice,216,PLA,none,46.781357874857086,10.0,2.5,1.1366482242755067,0.5,1.70497233641326
Lattice,217,PLA,dense elastomer,10.376158004632993,10.0,2.5,0.7694001159771027,0.5,1.154100173965654
Lattice,218,PLA,foamed elastomer,10.376158004632993,10.0,2.5,0.7694001159771027,0.5,1.154100173965654
Lattice,219,PLA,none,10.376158004632993,10.0,2.5,0.7694001159771027,0.5,1.154100173965654
Lattice,220,PLA,dense elastomer,47.09764570132036,10.0,2.5,0.5939315686327264,0.5,0.8908973529490897
Lattice,221,PLA,foamed elastomer,47.09764570132036,10.0,2.5,0.5939315686327264,0.5,0.8908973529490897
Lattice,222,PLA,none,47.09764570132036,10.0,2.5,0.5939315686327264,0.5,0.8908973529490897
Lattice,223,PLA,dense elastomer,45.492127951107626,10.0,2.5,0.6942555228883329,0.5,1.0413832843324995
Lattice,224,PLA,foamed elastomer,45.492127951107626,10.0,2.5,0.6942555228883329,0.5,1.0413832843324995
Lattice,225,PLA,none,45.492127951107626,10.0,2.5,0.6942555228883329,0.5,1.0413832843324995
Lattice,226,PLA,dense elastomer,46.50048142993634,10.0,2.5,1.2206405393249267,0.5,1.83096080898739
Lattice,227,PLA,foamed elastomer,46.50048142993634,10.0,2.5,1.2206405393249267,0.5,1.83096080898739
Lattice,228,PLA,none,46.50048142993634,10.0,2.5,1.2206405393249267,0.5,1.83096080898739
Lattice,229,PLA,dense elastomer,22.049725785747633,10.0,2.5,1.028178074718117,0.5,1.5422671120771756
Lattice,230,PLA,foamed elastomer,22.049725785747633,10.0,2.5,1.028178074718117,0.5,1.5422671120771756
Lattice,231,PLA,none,22.049725785747633,10.0,2.5,1.028178074718117,0.5,1.5422671120771756
Lattice,232,PLA,dense elastomer,24.41517838493305,10.0,2.5,0.269509355491235,0.5,0.4042640332368525
Lattice,233,PLA,foamed elastomer,24.41517838493305,10.0,2.5,0.269509355491235,0.5,0.4042640332368525
Lattice,234,PLA,none,24.41517838493305,10.0,2.5,0.269509355491235,0.5,0.4042640332368525
Lattice,235,PLA,dense elastomer,19.17099414298543,10.0,2.5,0.44414930413911247,0.5,0.6662239562086687
Lattice,236,PLA,foamed elastomer,19.17099414298543,10.0,2.5,0.44414930413911247,0.5,0.6662239562086687
Lattice,237,PLA,none,19.17099414298543,10.0,2.5,0.44414930413911247,0.5,0.6662239562086687
Lattice,238,PLA,dense elastomer,12.692556737497316,10.0,2.5,1.1336305352169727,0.5,1.700445802825459
Lattice,239,PLA,foamed elastomer,12.692556737497316,10.0,2.5,1.1336305352169727,0.5,1.700445802825459
Lattice,240,PLA,none,12.692556737497316,10.0,2.5,1.1336305352169727,0.5,1.700445802825459
Lattice,241,PLA,dense elastomer,35.975095245713405,10.0,2.5,1.1094536486937976,0.5,1.6641804730406964
Lattice,242,PLA,foamed elastomer,35.975095245713405,10.0,2.5,1.1094536486937976,0.5,1.6641804730406964
