Unit Cell,ID,Error,E1,E2,E3,Nu12,Nu13,Nu23,G12,G13,G23,Stiff volume,Total volume
Re-entrant,132,2.49E-05,23.89085337,3.237718859,334.4788349,-2.364952482,0.021425933,0.0029031,0.161777357,41.39518144,32.53453314,124.9022311,750.0000214
Re-entrant,133,4.86E-06,112.2393416,26.90646119,444.8446754,0.173812483,0.086928048,0.032533718,1.475172829,36.36539842,24.70595825,165.7536037,750.0001003
Re-entrant,134,3.38E-06,26.71536344,1.144608639,443.9478201,-4.067186358,0.018508038,0.00087923,0.192175756,35.1949479,24.27571558,165.7536037,750.0001003
Re-entrant,135,3.62E-06,21.72543947,0.886318263,443.9103199,-4.323442512,0.014685863,0.000599772,0.128536794,35.14969008,24.25926796,165.7536037,750.0001003
Re-entrant,136,1.69E-05,201.23391,17.75598448,441.5598294,2.148128603,0.116290006,0.024393709,22.57167629,137.5273541,32.97385676,164.43244,750.0000328
Re-entrant,137,2.01E-05,60.1852119,1.742085399,440.5150439,5.313166198,0.040590474,0.001263438,21.67076128,137.2117395,32.56049478,164.43244,750.0000328
Re-entrant,138,2.01E-05,56.16035541,1.596467153,440.4762248,5.401212854,0.038247253,0.001087805,21.63628448,137.199677,32.54469269,164.43244,750.0000328
Re-entrant,139,2.54E-05,93.16383498,19.95159404,385.9555988,1.692345741,0.058738282,0.026515291,3.623974548,107.4641562,50.88144269,143.341389,750.0001249
Re-entrant,140,2.83E-05,66.62359013,9.814987321,384.0768651,2.195555324,0.051910417,0.007735795,2.819470752,107.1419375,50.50329686,143.341389,750.0001249
Re-entrant,141,2.83E-05,66.16331586,9.706658011,384.0360481,2.203035102,0.051685705,0.007582413,2.788026414,107.129625,50.48884894,143.341389,750.0001249
Re-entrant,142,1.25E-05,111.8003627,195.775057,404.3031146,0.03348362,0.097900492,0.158696002,1.426168974,88.19229166,68.11398958,150.0023956,750.0000453
Re-entrant,143,1.75E-05,84.15352188,179.3402121,401.9402522,-0.056536827,0.062908141,0.13395447,0.858697601,87.81976041,67.74784896,150.0023956,750.0000453
Re-entrant,144,1.76E-05,83.86670285,179.1714997,401.8998358,-0.057277022,0.062601335,0.133743334,0.836659347,87.80551041,67.73385937,150.0023956,750.0000453
Re-entrant,145,5.22E-05,93.69541742,20.10759227,385.9638865,1.687575116,0.059230342,0.026637046,3.697597058,107.4629687,50.87146354,143.3414276,750.0001548
Re-entrant,146,5.26E-05,67.28850612,9.937163617,384.0776146,2.188456451,0.052430132,0.007831301,2.895989225,107.1407292,50.49335416,143.3414276,750.0001548
Re-entrant,147,5.24E-05,66.83088839,9.828619771,384.0368073,2.195896055,0.052206872,0.007677738,2.864645942,107.1284167,50.47890104,143.3414276,750.0001548
Re-entrant,148,1.26E-06,104.4576586,195.7526833,404.276083,0.032323797,0.09256446,0.158642811,2.291661458,88.18638542,68.11125521,150.0023956,750.0000579
Re-entrant,149,3.20E-06,84.05699361,179.3110496,401.9407824,-0.056735436,0.062837802,0.133932354,1.826996087,87.82102083,67.74502083,150.0023956,750.0000579
Re-entrant,150,3.14E-06,83.84291696,179.1441446,401.9003977,-0.057458543,0.062585246,0.133722485,1.809246576,87.80705208,67.73103125,150.0023956,750.0000579
Re-entrant,151,3.63E-05,172.4956894,65.18868426,518.1995169,-0.512107288,0.118278335,0.052940963,1.686961677,76.22269537,62.53441979,192.9347112,750.0002075
Re-entrant,152,3.96E-05,97.78989154,27.3330824,516.7003501,-1.235192337,0.056943938,0.01597124,0.975855662,75.62537761,62.11938849,192.9347112,750.0002075
Re-entrant,153,3.97E-05,96.85348404,26.98065346,516.6629164,-1.244288928,0.05623676,0.015665482,0.949659752,75.60244011,62.1035187,192.9347112,750.0002075
Re-entrant,154,4.91E-06,111.7542582,195.7569873,404.3031189,0.033329099,0.097869366,0.158685964,1.424151518,88.19336457,68.11045312,150.0024021,750.000077
Re-entrant,155,5.12E-06,84.13311051,179.3099143,401.9402483,-0.056706758,0.062894609,0.133931898,0.856777086,87.82086457,67.74430729,150.0024021,750.000077
Re-entrant,156,5.11E-06,83.84652807,179.1410922,401.8998068,-0.057446864,0.06258795,0.133720603,0.834744127,87.80662499,67.7303177,150.0024021,750.000077
Re-entrant,160,7.43E-06,190.4778452,43.74171038,673.7698864,-0.236949497,0.096244499,0.029968386,2.765799448,68.33638524,51.52789049,251.1581527,750.0001073
Re-entrant,161,1.51E-05,99.38172884,9.877529133,672.7347875,-2.038710368,0.044494897,0.00447552,0.914299762,67.24047377,51.04199465,251.1581527,750.0001073
Re-entrant,162,1.58E-05,97.43953495,9.563605793,672.7014461,-2.077922823,0.043453419,0.00426457,0.852342884,67.19821856,51.02341649,251.1581527,750.0001073
Re-entrant,163,4.66E-06,57.27995548,12.46332399,81.23792812,0.994920848,0.19480648,0.104156117,0.814606292,26.00917812,3.197210724,49.8560299,1250.000044
Re-entrant,164,4.13E-06,17.45988142,0.138262411,80.17430794,9.585511356,0.061018544,0.00097816,0.061717449,25.6502781,2.836759903,49.8560299,1250.000044
Re-entrant,165,4.23E-06,0.408020042,0.002286207,80.13566978,13.31662599,0.001515667,9.45E-06,0.029995277,25.63655963,2.822939247,49.8560299,1250.000044
Re-entrant,166,1.32E-05,33.59302044,9.439564873,69.69699585,1.20786097,0.112421336,0.096973136,0.48999106,21.13710312,5.713809199,42.63289083,1250.000144
