Unit Cell,ID,Stiff material,Infill material,Unit cell width [mm],Unit cell height [mm],Out of plane thickness [mm],Strut thickness [mm],Fillet radius [mm],Interface length [mm],Upper strut length [mm],Lower strut length [mm]
Re-entrant,216,PLA,none,50,10,2.5,0.75,0.05,0.75,21.25,21.25
Re-entrant,217,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,6.25,6.25
Re-entrant,218,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,6.25,6.25
Re-entrant,219,PLA,none,50,10,2.5,1.25,0.05,1.25,6.25,6.25
Re-entrant,220,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,13.75,6.25
Re-entrant,221,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,13.75,6.25
Re-entrant,222,PLA,none,50,10,2.5,1.25,0.05,1.25,13.75,6.25
Re-entrant,223,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,21.25,6.25
Re-entrant,224,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,21.25,6.25
Re-entrant,225,PLA,none,50,10,2.5,1.25,0.05,1.25,21.25,6.25
Re-entrant,226,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,6.25,13.75
Re-entrant,227,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,6.25,13.75
Re-entrant,228,PLA,none,50,10,2.5,1.25,0.05,1.25,6.25,13.75
Re-entrant,229,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,13.75,13.75
Re-entrant,230,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,13.75,13.75
Re-entrant,231,PLA,none,50,10,2.5,1.25,0.05,1.25,13.75,13.75
Re-entrant,232,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,21.25,13.75
Re-entrant,233,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,21.25,13.75
Re-entrant,234,PLA,none,50,10,2.5,1.25,0.05,1.25,21.25,13.75
Re-entrant,235,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,6.25,21.25
Re-entrant,236,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,6.25,21.25
Re-entrant,237,PLA,none,50,10,2.5,1.25,0.05,1.25,6.25,21.25
Re-entrant,238,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,13.75,21.25
Re-entrant,239,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,13.75,21.25
Re-entrant,240,PLA,none,50,10,2.5,1.25,0.05,1.25,13.75,21.25
Re-entrant,241,PLA,dense elastomer,50,10,2.5,1.25,0.05,1.25,21.25,21.25
Re-entrant,242,PLA,foamed elastomer,50,10,2.5,1.25,0.05,1.25,21.25,21.25
Re-entrant,243,PLA,none,50,10,2.5,1.25,0.05,1.25,21.25,21.25
Re-entrant,244,PLA,dense elastomer,16.07611845,10,2.5,1.09223601,0.05,1.09223601,5.572949744,4.879046794
Re-entrant,245,PLA,foamed elastomer,16.07611845,10,2.5,1.09223601,0.05,1.09223601,5.572949744,4.879046794
Re-entrant,246,PLA,none,16.07611845,10,2.5,1.09223601,0.05,1.09223601,5.572949744,4.879046794
Re-entrant,247,PLA,dense elastomer,23.29930079,10,2.5,0.435120918,0.05,0.435120918,5.232369862,4.65528953
Re-entrant,248,PLA,foamed elastomer,23.29930079,10,2.5,0.435120918,0.05,0.435120918,5.232369862,4.65528953
Re-entrant,249,PLA,none,23.29930079,10,2.5,0.435120918,0.05,0.435120918,5.232369862,4.65528953
Re-entrant,250,PLA,dense elastomer,10.26630807,10,2.5,0.304552127,0.05,0.304552127,2.51508648,3.617302101
Re-entrant,251,PLA,foamed elastomer,10.26630807,10,2.5,0.304552127,0.05,0.304552127,2.51508648,3.617302101
Re-entrant,252,PLA,none,10.26630807,10,2.5,0.304552127,0.05,0.304552127,2.51508648,3.617302101
Re-entrant,253,PLA,dense elastomer,45.049296,10,2.5,0.37301263,0.05,0.37301263,11.8434571,6.342988456
Re-entrant,254,PLA,foamed elastomer,45.049296,10,2.5,0.37301263,0.05,0.37301263,11.8434571,6.342988456
Re-entrant,255,PLA,none,45.049296,10,2.5,0.37301263,0.05,0.37301263,11.8434571,6.342988456
Re-entrant,256,PLA,dense elastomer,44.1571347,10,2.5,1.237999205,0.05,1.237999205,13.6780945,10.50167814
Re-entrant,257,PLA,foamed elastomer,44.1571347,10,2.5,1.237999205,0.05,1.237999205,13.6780945,10.50167814
Re-entrant,258,PLA,none,44.1571347,10,2.5,1.237999205,0.05,1.237999205,13.6780945,10.50167814
Re-entrant,259,PLA,dense elastomer,33.72605056,10,2.5,0.824675214,0.05,0.824675214,11.47812683,11.31920227
Re-entrant,260,PLA,foamed elastomer,33.72605056,10,2.5,0.824675214,0.05,0.824675214,11.47812683,11.31920227
Re-entrant,261,PLA,none,33.72605056,10,2.5,0.824675214,0.05,0.824675214,11.47812683,11.31920227
Re-entrant,262,PLA,dense elastomer,22.17322316,10,2.5,1.08617051,0.05,1.08617051,3.897199664,8.285267666
Re-entrant,263,PLA,foamed elastomer,22.17322316,10,2.5,1.08617051,0.05,1.08617051,3.897199664,8.285267666
Re-entrant,264,PLA,none,22.17322316,10,2.5,1.08617051,0.05,1.08617051,3.897199664,8.285267666
Re-entrant,265,PLA,dense elastomer,31.81687512,10,2.5,0.885695169,0.05,0.885695169,5.920576844,13.10671525
Re-entrant,266,PLA,foamed elastomer,31.81687512,10,2.5,0.885695169,0.05,0.885695169,5.920576844,13.10671525
Re-entrant,267,PLA,none,31.81687512,10,2.5,0.885695169,0.05,0.885695169,5.920576844,13.10671525
Re-entrant,268,PLA,dense elastomer,48.61903212,10,2.5,0.927364363,0.05,0.927364363,10.29289988,20.23483518
Re-entrant,269,PLA,foamed elastomer,48.61903212,10,2.5,0.927364363,0.05,0.927364363,10.29289988,20.23483518
Re-entrant,270,PLA,none,48.61903212,10,2.5,0.927364363,0.05,0.927364363,10.29289988,20.23483518
Re-entrant,271,PLA,dense elastomer,27.11433646,10,2.5,1.100811715,0.05,1.100811715,11.30500765,6.711638158
Re-entrant,272,PLA,foamed elastomer,27.11433646,10,2.5,1.100811715,0.05,1.100811715,11.30500765,6.711638158
Re-entrant,273,PLA,none,27.11433646,10,2.5,1.100811715,0.05,1.100811715,11.30500765,6.711638158
Re-entrant,274,PLA,dense elastomer,29.93346161,10,2.5,0.284708583,0.05,0.284708583,4.300711199,12.21382017
Re-entrant,275,PLA,foamed elastomer,29.93346161,10,2.5,0.284708583,0.05,0.284708583,4.300711199,12.21382017
Re-entrant,276,PLA,none,29.93346161,10,2.5,0.284708583,0.05,0.284708583,4.300711199,12.21382017
Re-entrant,277,PLA,dense elastomer,34.5760005,10,2.5,0.811633686,0.05,0.811633686,12.80009544,5.214453482
Re-entrant,278,PLA,foamed elastomer,34.5760005,10,2.5,0.811633686,0.05,0.811633686,12.80009544,5.214453482
